La matriz 0 es:
|  -66.00  012.00  011.00  -19.00  004.00  -04.00  040.00  -52.00  -72.00  086.00  043.00 |
|  062.00  -96.00  -07.00  -97.00  -22.00  -61.00  085.00  075.00  -78.00  -60.00  057.00 |
|  -30.00  015.00  -47.00  -05.00  047.00  -32.00  014.00  -05.00  -51.00  023.00  -08.00 |
|  -26.00  052.00  032.00  -90.00  045.00  -52.00  -25.00  075.00  -99.00  087.00  100.00 |
|  052.00  -15.00  058.00  -67.00  004.00  007.00  -62.00  -95.00  -100.00  085.00  -87.00 |
La matriz 1 es:
|  -43.00  -47.00  030.00  -82.00  -98.00  010.00  073.00  -91.00 |
|  -67.00  012.00  -73.00  -65.00  -28.00  -22.00  -15.00  038.00 |
|  048.00  -66.00  032.00  014.00  -11.00  087.00  -59.00  037.00 |
|  -70.00  072.00  066.00  094.00  022.00  055.00  070.00  -11.00 |
|  086.00  -15.00  021.00  025.00  -92.00  067.00  -61.00  -56.00 |
|  -59.00  068.00  081.00  -49.00  -13.00  -87.00  044.00  097.00 |
|  -51.00  -25.00  -19.00  -52.00  012.00  -92.00  -58.00  070.00 |
|  054.00  018.00  -33.00  010.00  077.00  -50.00  068.00  -29.00 |
|  -82.00  -75.00  -15.00  040.00  -47.00  -55.00  -08.00  083.00 |
|  -29.00  034.00  -49.00  -73.00  091.00  -67.00  076.00  -98.00 |
|  -11.00  -41.00  -17.00  -05.00  -31.00  -02.00  -22.00  047.00 |
La matriz 2 es:
|  -01.00  024.00  -83.00  -31.00  -99.00  014.00  -60.00  014.00 |
|  -18.00  024.00  -36.00  -56.00  -25.00  -46.00  -07.00  014.00 |
|  -37.00  -30.00  008.00  -35.00  -18.00  008.00  -21.00  084.00 |
|  -69.00  -98.00  041.00  -70.00  038.00  -09.00  017.00  038.00 |
|  073.00  029.00  -95.00  019.00  078.00  019.00  -70.00  094.00 |
|  -68.00  -78.00  058.00  -28.00  095.00  -05.00  -70.00  024.00 |
|  093.00  -32.00  014.00  -22.00  038.00  -37.00  047.00  -46.00 |
|  033.00  -95.00  -24.00  -77.00  075.00  -68.00  -17.00  -67.00 |
|  -78.00  -53.00  -27.00  046.00  059.00  -35.00  -15.00  -54.00 |
La matriz 3 es:
|  094.00  -98.00  -71.00  -32.00  086.00  020.00  092.00  -23.00  064.00  055.00  -22.00  002.00  083.00 |
|  -07.00  011.00  -94.00  -46.00  062.00  -84.00  -29.00  -17.00  079.00  -14.00  -43.00  058.00  044.00 |
|  001.00  -38.00  099.00  -87.00  072.00  -99.00  -46.00  -41.00  064.00  -53.00  064.00  -05.00  -06.00 |
|  080.00  033.00  -94.00  -66.00  -82.00  088.00  070.00  -55.00  -35.00  -84.00  -44.00  -01.00  030.00 |
|  100.00  034.00  -96.00  -51.00  -86.00  -33.00  065.00  -86.00  014.00  050.00  100.00  045.00  038.00 |
|  -14.00  -81.00  -77.00  -23.00  -68.00  056.00  082.00  -01.00  072.00  092.00  073.00  067.00  065.00 |
|  008.00  -89.00  006.00  048.00  066.00  007.00  033.00  -84.00  -94.00  043.00  054.00  -19.00  -68.00 |
|  -100.00  090.00  004.00  -28.00  -37.00  -81.00  -21.00  055.00  -03.00  -23.00  -94.00  037.00  -62.00 |
|  073.00  001.00  068.00  017.00  091.00  033.00  097.00  016.00  -06.00  002.00  035.00  015.00  -56.00 |
La matriz 4 es:
|  -25.00  044.00  027.00  -62.00  -02.00  -78.00  -80.00  -83.00  -10.00  077.00  010.00  093.00  -31.00  047.00  -15.00  045.00 |
|  -37.00  071.00  -60.00  -03.00  -41.00  -84.00  -56.00  019.00  056.00  -14.00  -15.00  -66.00  -91.00  076.00  089.00  045.00 |
|  062.00  -48.00  074.00  -84.00  066.00  -13.00  074.00  080.00  059.00  -57.00  083.00  -87.00  082.00  013.00  079.00  -03.00 |
|  -64.00  -70.00  -92.00  015.00  100.00  -20.00  030.00  -30.00  083.00  062.00  -06.00  -13.00  096.00  071.00  -82.00  027.00 |
|  -10.00  -13.00  043.00  -16.00  070.00  -18.00  071.00  050.00  -33.00  025.00  081.00  027.00  -56.00  -87.00  020.00  -60.00 |
|  005.00  -75.00  095.00  007.00  046.00  072.00  017.00  095.00  -37.00  -18.00  -84.00  -98.00  073.00  060.00  043.00  -49.00 |
|  038.00  075.00  -63.00  -41.00  -06.00  -71.00  065.00  008.00  -08.00  -82.00  062.00  -43.00  082.00  020.00  021.00  -13.00 |
|  -11.00  -08.00  021.00  014.00  -45.00  -24.00  -56.00  -03.00  016.00  -61.00  -29.00  056.00  000.00  -78.00  -41.00  017.00 |
|  -55.00  -08.00  025.00  042.00  -57.00  -95.00  -46.00  -55.00  -78.00  -81.00  -63.00  095.00  -49.00  -82.00  073.00  -61.00 |
|  028.00  -93.00  -28.00  -100.00  033.00  -35.00  085.00  -45.00  -86.00  037.00  038.00  -76.00  030.00  -65.00  088.00  075.00 |
|  -09.00  085.00  -26.00  -49.00  -100.00  085.00  086.00  -80.00  067.00  -46.00  017.00  091.00  -23.00  -31.00  009.00  -83.00 |
|  -56.00  -35.00  -40.00  083.00  -95.00  -47.00  -19.00  008.00  080.00  -79.00  024.00  100.00  045.00  082.00  -67.00  021.00 |
La matriz 5 es:
|  -41.00  -40.00  -32.00  009.00  016.00  052.00  -49.00  -42.00  016.00  -60.00  -11.00  -28.00  -40.00  -78.00 |
|  023.00  044.00  -01.00  014.00  -68.00  051.00  -56.00  057.00  046.00  -41.00  -09.00  -62.00  071.00  054.00 |
|  037.00  003.00  003.00  -74.00  035.00  048.00  -98.00  -68.00  -51.00  079.00  037.00  -20.00  -37.00  021.00 |
|  -81.00  -03.00  -42.00  077.00  022.00  -78.00  -53.00  -01.00  072.00  040.00  033.00  -61.00  083.00  041.00 |
|  000.00  058.00  035.00  097.00  017.00  036.00  063.00  -71.00  094.00  -15.00  -85.00  062.00  -68.00  027.00 |
|  065.00  082.00  068.00  079.00  -100.00  -16.00  -94.00  074.00  -79.00  -24.00  -90.00  027.00  -01.00  -81.00 |
|  015.00  052.00  -91.00  -90.00  -63.00  047.00  009.00  -15.00  069.00  049.00  -38.00  046.00  -11.00  -55.00 |
|  -23.00  -31.00  -31.00  -13.00  039.00  -28.00  -73.00  081.00  -90.00  -45.00  092.00  022.00  -73.00  080.00 |
|  094.00  -95.00  -65.00  008.00  -75.00  -08.00  088.00  073.00  -33.00  002.00  026.00  019.00  080.00  071.00 |
|  -88.00  036.00  041.00  055.00  057.00  -87.00  -66.00  -55.00  -81.00  082.00  062.00  054.00  -83.00  042.00 |
|  -83.00  046.00  -23.00  -59.00  -76.00  -54.00  037.00  030.00  -94.00  -42.00  -41.00  052.00  -06.00  078.00 |
|  -79.00  -98.00  -95.00  072.00  034.00  -06.00  050.00  -61.00  082.00  019.00  035.00  093.00  -98.00  021.00 |
La matriz 6 es:
|  036.00  -75.00  059.00  -91.00  056.00  -07.00  070.00  -21.00  092.00 |
|  -04.00  -80.00  081.00  -35.00  -53.00  083.00  -14.00  -93.00  055.00 |
|  -27.00  097.00  -26.00  088.00  050.00  038.00  075.00  -93.00  025.00 |
|  -05.00  -03.00  049.00  -73.00  060.00  076.00  070.00  089.00  -50.00 |
|  089.00  070.00  014.00  031.00  075.00  -46.00  085.00  054.00  -91.00 |
|  073.00  060.00  -19.00  -60.00  044.00  -07.00  080.00  019.00  074.00 |
|  -45.00  -19.00  064.00  -04.00  064.00  045.00  063.00  -38.00  097.00 |
La matriz 7 es:
|  -71.00  -12.00  -72.00  -27.00  000.00  -48.00  -68.00  -19.00  -54.00  -15.00  049.00  -16.00  -68.00  -04.00  076.00  012.00 |
|  025.00  060.00  010.00  -05.00  028.00  010.00  035.00  087.00  062.00  -49.00  -95.00  018.00  061.00  -59.00  -12.00  000.00 |
|  064.00  031.00  -31.00  050.00  036.00  055.00  -56.00  052.00  -92.00  065.00  -75.00  -45.00  040.00  -89.00  070.00  -79.00 |
|  064.00  079.00  003.00  -76.00  -47.00  014.00  -60.00  -78.00  -56.00  052.00  081.00  -20.00  014.00  069.00  081.00  099.00 |
|  -44.00  054.00  076.00  -91.00  -83.00  057.00  002.00  -30.00  -43.00  -04.00  -90.00  -55.00  019.00  078.00  100.00  -89.00 |
|  083.00  022.00  016.00  061.00  020.00  -37.00  -28.00  -25.00  -16.00  -58.00  096.00  -65.00  -79.00  -39.00  092.00  -86.00 |
|  -55.00  064.00  040.00  085.00  088.00  -27.00  -60.00  -22.00  -87.00  -92.00  092.00  -14.00  004.00  059.00  -28.00  075.00 |
|  091.00  -36.00  083.00  -10.00  -74.00  061.00  -75.00  093.00  -19.00  -84.00  008.00  -58.00  007.00  062.00  -23.00  -90.00 |
|  -17.00  081.00  -86.00  089.00  -41.00  062.00  -02.00  -86.00  -64.00  061.00  075.00  -81.00  -92.00  024.00  017.00  -77.00 |
La matriz 8 es:
|  008.00  -62.00  -29.00  -52.00  072.00  -86.00  -53.00  038.00  -81.00  -94.00  038.00  -48.00  031.00  -84.00  -88.00  021.00  -67.00  -98.00 |
|  -22.00  -93.00  -22.00  035.00  -68.00  -94.00  083.00  -93.00  -26.00  -89.00  019.00  018.00  051.00  -81.00  027.00  -20.00  013.00  005.00 |
|  -46.00  068.00  -13.00  058.00  -30.00  -05.00  -91.00  -40.00  -45.00  -91.00  091.00  -26.00  -50.00  086.00  -01.00  040.00  018.00  066.00 |
|  -65.00  -02.00  -30.00  096.00  -53.00  -44.00  071.00  -38.00  -92.00  -100.00  088.00  -60.00  -54.00  038.00  -89.00  083.00  -47.00  -18.00 |
|  060.00  052.00  -100.00  098.00  094.00  -24.00  005.00  015.00  045.00  033.00  -33.00  -69.00  002.00  100.00  -55.00  097.00  -90.00  -04.00 |
|  032.00  -77.00  022.00  -59.00  030.00  -53.00  -82.00  084.00  -90.00  -10.00  -36.00  004.00  -64.00  -04.00  094.00  -49.00  -07.00  -91.00 |
|  086.00  -40.00  089.00  084.00  -16.00  039.00  017.00  -82.00  -76.00  093.00  090.00  -08.00  -80.00  -54.00  018.00  041.00  016.00  097.00 |
|  -87.00  -56.00  065.00  -33.00  -42.00  055.00  024.00  011.00  -12.00  -34.00  -07.00  083.00  -51.00  -22.00  -30.00  -91.00  -92.00  012.00 |
|  -46.00  089.00  -03.00  093.00  -39.00  047.00  -30.00  033.00  088.00  -18.00  045.00  091.00  -93.00  007.00  -27.00  -86.00  069.00  -49.00 |
|  029.00  050.00  058.00  001.00  -66.00  -70.00  005.00  032.00  088.00  017.00  -79.00  029.00  032.00  025.00  -53.00  -21.00  063.00  -09.00 |
|  067.00  002.00  -82.00  006.00  085.00  -81.00  080.00  019.00  074.00  060.00  032.00  057.00  087.00  007.00  099.00  001.00  074.00  -43.00 |
La matriz 9 es:
|  091.00  -53.00  -25.00  -43.00  039.00  -33.00  -11.00  067.00  -88.00  081.00 |
|  -46.00  011.00  022.00  002.00  056.00  016.00  082.00  028.00  -12.00  -31.00 |
|  055.00  074.00  081.00  -94.00  -02.00  -22.00  -91.00  048.00  -59.00  030.00 |
